Name,id_Number,row_Number,seat_Number,auditorium_Number,score,test_result
"Justin Palmer",37280193303211708,32,31,6,59.1111,True
"Kathryn Wollschlager",33822200309139562,33,16,3,83.2951,False
"Kathy Russo",61231200410188311,48,13,1,77.5885,False
"Kenneth Conly",51369198906054785,64,13,2,80.0349,False
"Kenyatta Jones",40669199101215605,50,61,2,80.2479,False
"Kim Schauble",75683198910146765,19,19,6,92.5188,False
"Kurt Zapata",28904194506295256,28,47,6,63.8475,True
"Larry Sampson",51111199411272972,14,49,6,78.9034,False
"Liliana Schmidt",59587198308182384,54,20,6,77.9462,True
"Lorna Fields",44712199001115263,23,37,2,73.7794,False
"Louise Rao",39736201003158296,37,46,4,77.7226,False
"Luis Wison",89719193208148408,53,30,2,62.4169,False
"Mamie Runge",45771194509295571,51,9,4,75.207,False
"Marcus Hardin",74483194609125558,46,43,1,67.2232,False
"Margaret Browne",46016193607214634,1,29,6,64.1894,False
"Marilyn Young",23299198207136379,47,25,3,90.3132,True
"Mark Stein",93235197609131131,21,17,4,81.6294,False
"Marshall Schneider",23463200205073177,46,43,5,86.4621,False
"Martha Buckley",73938195711119656,47,43,1,67.7745,False
"Matthew Freeman",73185201406243872,60,23,2,75.6263,False
"Mattie Brown",74236199409225328,22,28,6,72.707,False
"Maynard Locke",15637197611171528,32,50,6,78.908,False
"Melba Godfrey",26307197407197339,49,53,4,72.785,False
"Melinda Barry",60729201610107481,28,50,4,79.1029,False
"Melissa Travis",23238198311292614,52,38,4,78.7451,False
"Michael Edwards",91696198707269287,12,29,1,86.6047,False
"Nelson Hines",53868201903178468,43,18,2,86.9922,False
"Norma Kenkel",60434193402032348,6,35,1,58.7279,False
"Patricia Villagomez",93233201501096503,15,40,3,74.7899,False
"Paul Bishop",73015201909305939,36,1,5,79.9543,False
"Paul Mifflin",99984194010066053,21,35,6,57.2013,False
"Perla Ball",97546197507214166,30,28,6,69.1632,False
"Perry Guzman",61452196010285602,36,28,3,75.9688,False
"Raymond Melugin",70511201103179462,26,8,4,55.541,False
"Renee Miller",74573200306064001,50,4,2,78.8026,False
"Richard Brunner",52895197403081025,5,50,6,75.4376,False
"Robert Otterson",79734201806163454,1,38,1,75.1162,True
"Roger Juul",18327195307185864,27,41,6,71.1978,False
"Rose Burton",43308193801031973,52,20,6,63.0883,False
"Rose Rhodes",29335201808227251,60,34,6,76.2162,False
"Russell Lee",58727196406012671,63,57,3,73.2347,False
"Salvador Barone",21582197003099254,31,37,3,69.7108,False
"Sandy Casey",31141198211167244,38,18,1,76.4688,False
"Sean Noffsinger",29307194707156090,49,9,5,71.7445,False
"Sherly Gray",15582193411054301,11,36,1,65.3848,False
"Sibyl Mendoza",37072194508314562,48,15,1,71.5734,False
"Stella Monroe",14745197611011941,21,46,6,68.9634,False
"Stella Stanley",94559193101265260,9,20,5,58.8883,False
"Steve Beck",44944201812022537,7,51,2,77.844,False
"Susie Wilson",24182199005294802,23,35,6,82.0477,False
"Suzette Wood",16538198708178806,62,51,2,77.3332,False
"Tawana Hutchinson",53097195211111793,20,34,2,67.4758,False
"Terence Alton",87241198011204891,6,60,2,85.4585,False
"Terrance Hodges",27884199005204570,5,2,3,85.7472,False
"Thaddeus Morgan",21354201212051337,23,39,6,80.948,False
"Timothy Murray",72649193401023279,48,39,1,48.0526,False
"Tony Takacs",53557201409172441,34,30,6,73.6639,False
"Vanessa Arp",47136195909217557,28,8,3,69.3805,False
"William Ulatowski",24216196411067856,35,47,5,64.8367,False
"William Woods",74828194404223997,45,46,2,69.7601,False
"Willie Vasquez",91854195006105912,2,46,6,78.0671,False
"Yvonne Wilson",48323194201244957,31,17,2,68.4878,False
"Angela Millerbernd",48850193304296333,34,20,6,73.4755,False
"Ann Aldridge",72012197901033715,56,53,3,75.9643,False
"Bonnie Lawhorn",14097199508047740,2,56,3,85.6825,False
"Brenda Tidwell",27203198406067110,11,31,3,76.0106,False
"Brian Laporte",75552194911296687,19,43,6,75.2269,False
"Carolyn Schafer",12868198806022143,19,8,3,81.3454,False
"Charlene Overstreet",96787195202171472,37,28,1,73.4755,False
"Courtney Mcguire",11712193008062956,30,2,5,73.4755,False
"Diana Lancaster",58324201903261660,1,36,6,64.4331,False
"Eric Love",96643198111291595,8,50,6,73.4755,False
"Ernest Adams",65944197101257118,42,41,6,73.4755,False
"Estella Reed",30561199911103331,10,25,6,76.6098,False
"Gabriel Smith",81247193311152217,50,23,1,49.3034,False
"Gerald Roll",18093201803281275,13,14,6,72.2008,False
"Glenna Dawson",47706200906016561,13,6,1,68.963,False
"Heidi Jefferson",81173200010218830,27,39,4,78.8804,False
"Jennifer Kennedy",81290200201153573,40,7,3,73.4755,True
"Jewel Olson",96453194710188598,55,22,6,73.4755,False
"Jimmy Peiffer",94099198311194515,26,20,3,86.9726,False
"John Olson",90465195805196602,30,33,6,73.4755,False
"John Paul",16085195507081672,17,56,3,73.8773,False
"Jon Byrd",79903201406183748,45,8,3,68.2107,False
"Juan Paul",55807195805062753,28,29,2,73.4755,False
"Kathy Mcdermott",65211199911246172,26,54,5,82.0915,False
"Kristina Stout",79907197505165304,47,28,6,83.9672,True
"Margaret Chizmar",31627196107243024,6,38,4,64.6283,False
"Mark Nolen",23253195503078293,27,20,6,62.7905,False
"Mary Gonzales",28846201105115339,16,11,4,76.3006,False
"Matthew Montemayor",12810196804046282,13,1,3,66.6463,False
"Michael Streets",43259195608214080,20,21,3,67.7974,False
"Michelle Strang",88379194703161320,11,22,6,64.3884,False
"Olga Carter",31852197710301637,50,48,3,73.4755,True
"Paul Bentson",91563201508061744,44,16,5,71.1953,False
"Pearle Lewis",76617193707273433,20,14,2,57.5799,False
"Ray Johnson",20672196911089599,48,35,2,76.784,False
"Renee Boldosser",24362198909088965,51,27,6,85.6043,False
"Robert Lehman",79001195611096234,37,45,2,64.5211,False
"Robert Martin",20070200008037359,52,18,2,83.5948,False
"Ronald Winders",59136197201096422,23,4,5,73.4755,True
"Sandra Upton",43932199709231299,17,10,1,95.3043,False
"Stanley Krebs",30925200204035915,20,32,6,73.4755,False
"Stephanie Higdon",68859199611104696,30,53,3,82.3194,False
"Timothy Stennett",52197200004226170,11,64,4,80.6611,False
"Tuyet Taylor",70912198509263055,25,56,2,71.2297,False
"Adriana Cook",42570196107138945,49,6,3,60.2819,False
"Agnes Hunter",64826193806228455,39,43,4,70.6233,False
"Allison Stafford",82043200301173512,47,38,4,81.3241,False
"Andy Williams",22722198611069295,9,55,3,92.6574,False
"Barbara Washington",26879197208095731,3,12,2,73.0755,False
"Caitlin Perez",85753201605283665,59,50,3,80.2131,False
"Christopher Larrivee",80484198804018230,32,41,1,83.6186,False
"Crystal Shumway",57700195203133151,30,48,4,56.4224,False
"Daniel Thomas",83938201302254875,47,41,6,73.4755,False
"Derrick Wilson",36554197203169785,25,13,6,73.4755,False
"Dorothy Smith",35896194502209533,49,24,6,64.0628,False
"Edwin Henry",16862196005146650,42,26,1,74.8537,False
"Ellen Cortez",57305198204132689,52,35,6,62.6873,False
"Frankie Johnston",78614200302269407,18,61,5,73.4755,False
"Franklin Spradley",46436198912021735,8,5,5,82.4307,False
"Fred Gillespie",33523200305046165,9,10,3,78.132,True
"Geneva Thompson",47813199603173122,56,17,3,73.4755,False
"Gerard Stevens",20607199605151699,29,46,6,73.4755,False
"Jamar Smith",82276200501292160,50,27,1,81.8997,False
"James Evenson",65889196912119267,20,21,5,79.2922,False
"James Nichols",42112197808277446,36,58,5,70.4497,False
"James Vineyard",84431200602218963,17,14,4,80.1252,False
"Janie Dickhoff",90634197411055402,16,7,1,81.0636,False
"Javier Knight",42977193709068397,53,47,3,62.1133,False
"Jeffrey Lemoyne",83541198809202367,36,54,3,92.8903,False
"John Green",63295198607068665,51,49,6,81.1724,True
"John Mills",11969198501212391,61,1,4,66.0774,False
"Joseph Johnson",30184195903011420,24,18,3,77.855,False
"Jospeh Pearson",50106198009131552,12,3,2,76.6053,True
"Kevin Brown",60167193002101953,56,49,3,54.1788,False
"Lashonda Harper",14026194801316046,11,7,2,73.4755,False
"Lawrence Yundt",73384193306043554,22,25,3,61.3478,False
"Leslie Smart",75919193703267967,45,47,5,64.0256,False
"Linda Marshall",82604199406078484,33,45,5,74.9174,False
"Linda Paul",39725198808088476,13,34,2,82.7869,False
"Lois Paquet",30735197602282874,33,61,5,73.4755,False
"Lois Wesley",88258195910157463,58,35,3,75.1654,False
"Lois Woods",27935193102076707,63,41,3,60.1435,False
"Margaret Cauthon",32492196909097722,62,15,3,75.8791,False
"Margaret Squires",55859198103198896,48,5,1,73.4755,False
"Mary Gallon",91732196001053391,4,34,5,77.3475,False
"Minnie Rivera",52547196003138094,46,30,1,72.3615,False
"Nina Rice",61403201007209660,36,5,3,73.4755,False
"Patricia Hines",19102193606301395,45,55,5,66.1297,False
"Paul Slaughter",96863201407118546,18,10,6,73.4755,True
"Reginald Moffatt",75396196301083948,8,15,1,69.3031,False
"Rose Stewart",73160198308116104,44,4,6,77.7052,False
"Shirley Savage",65707197609184948,11,32,4,81.878,False
"Steven Fote",67432199805163480,7,55,2,83.8922,False
"Ted Heineman",34460195205305235,21,7,5,77.4399,False
"Thomas Fewell",71674196507015189,10,59,2,77.7797,False
"Thomas Whitaker",73381193406108077,10,36,3,76.9583,True
"Tom Sargent",44173201904151066,45,3,4,74.9055,False
"William Garay",96515200005133218,31,49,5,80.5636,False
"William Reed",57352198204308060,7,27,3,81.1126,False
"Alice Lapuerta",91420194206194053,40,27,2,64.1122,False
"Angela Guerra",78516194905124995,1,25,1,73.727,False
"Ann Fisk",38335195910062922,12,1,4,67.2504,False
"Anthony Moses",50753200605163204,25,23,3,86.2104,False
"Antonio Jones",22181193903092899,41,13,3,73.4755,False
"Brenda Griffen",27375196004231106,40,35,1,66.1274,False
"Brenda Palo",77092201304249712,32,27,3,83.4593,False
"Brian Breault",44197199704265940,17,29,3,85.6213,False
"Carmen Brown",30539199607036413,33,12,1,70.6101,False
"Charles Gallagher",19225196406172579,58,41,1,70.4973,False
"Charles Mount",86046195203129533,7,8,4,69.1191,False
"Dahlia Williams",42070201207274265,10,1,1,76.2714,False
"Dan Erskine",52912195602022844,36,29,4,66.5783,False
"Denise Murphy",66019193410153360,33,58,2,61.6703,False
"Donald Vetter",54138193002066540,5,3,6,73.4755,False
"Douglas Yao",42344199006221714,3,16,4,64.8679,True
"Earle Gillespie",73328198608313331,13,43,2,73.8131,False
"Edith Burrell",91281198405149695,10,23,5,76.5245,True
"Eileen Jacobson",91137196505057266,15,5,2,73.2953,True
"Erin Levine",86897201602256409,14,18,6,80.1242,False
"Esther Barlow",16339194103123237,28,28,4,58.863,False
"Everett Spurlock",32163196107214147,26,21,3,73.4755,False
"Fred Bass",85636193706231166,15,27,5,59.1375,False
"Gary Jones",88157201403182718,37,21,2,83.0481,False
"George Morin",38688194502158752,30,49,5,64.5094,False
"Hector Holloway",87947196008182502,12,6,4,74.1189,False
"Helen Michalski",40978198607194317,43,61,5,85.8062,False
"Helen Steven",23608201011215324,41,52,4,73.4755,False
"James Laplante",52791201206164239,34,16,3,75.3684,False
"James Mackey",58031197010032702,4,16,4,77.5789,True
"Janelle Phillips",87132200901047491,49,26,6,86.9501,False
"Jeffrey Ramirez",60229196402198730,32,29,2,66.7689,False
"Jerry Kirsch",23321196306307091,32,36,1,65.4155,False
"Jessica Rivera",63128200002103475,64,28,2,83.2177,False
"Joan Thompson",61470198702028095,5,10,6,75.877,False
"John Galvan",68589198807276725,40,60,5,79.8007,True
"John Goodlett",73826198302124060,39,63,4,71.1867,False
"Joseph Early",46244201411196900,28,8,2,76.3916,False
"Joseph Soto",93957198508274928,16,12,3,68.824,False
"Judy Short",90802197711036540,6,10,5,73.4755,False
"Karen Miller",52377195009302911,55,5,6,68.5189,False
"Kathryn Hale",31747201510262748,35,4,1,82.5845,False
"Kelly Evans",88006199403088021,13,5,4,87.6445,False
"Kyle Hartis",40622196406151625,26,43,5,74.1068,False
"Lee Huffman",16045193303085141,60,30,2,62.1427,False
"Linda Hicks",11982201703073225,29,43,5,78.5701,False
"Lisa Torres",43854200402181188,14,17,5,85.7261,True
"Lise Alvarez",69665193312113234,39,19,1,73.4755,False
"Louise Driggs",96756195612222122,37,35,5,71.7604,False
"Lucie Norton",98562195304086960,48,40,1,73.4755,False
"Marcos Vanslyke",53099195703261466,45,30,2,67.8543,False
"Mark Lopez",47460193706028233,15,28,3,71.9881,False
"Mary Carpenter",20241201802128864,14,15,4,73.4755,False
"Marylou Orphey",70080198401304011,44,24,5,74.4962,False
"Monica Mcdonald",58564197506267431,14,49,4,76.9761,False
"Myrtle Goddard",27221195203293613,50,32,1,68.0315,False
"Nakia Brooks",68318195007316528,47,9,3,67.1796,False
"Naomi Saborido",46085193211221070,18,41,3,65.604,True
"Norman Goodman",74832197404109089,31,45,2,73.4755,True
"Paul Bessick",52338194401016348,1,51,5,62.2819,False
"Paul Pugh",55009194112249143,54,43,6,66.9242,False
"Penny Palacio",29244200312082025,31,13,1,80.561,False
"Raquel Leach",26516195903203250,42,56,2,79.7542,True
"Rose Cannon",70871200406162802,18,35,6,81.1174,False
"Samuel Sperdute",15568193210018583,15,41,6,60.6653,False
"Sandra Lara",55271198705043506,11,15,6,73.1513,True
"Sara Dejesus",82764196303026727,24,3,4,49.297,True
"Shawnda Hays",36110193512071303,2,10,4,78.8913,False
"Steven Slipper",93288194311262241,62,32,3,75.1815,False
"Susan Gibson",73631194405251045,20,30,1,72.8591,True
"Tara Simmer",94108199811295708,49,17,2,79.5352,False
"Tracy Kitchen",67633200604028443,15,56,5,81.8671,False
"Wayne Dunn",62963195208169904,37,15,5,73.854,False
"William Raycraft",47890195409253259,44,51,2,68.7273,False
"Adam Ferrell",17949201409164670,22,5,3,69.0144,False
"Agnes Sills",19100195801011254,36,9,3,66.302,False
"Alberto Potter",82599196703275400,25,17,1,55.0649,False
"Alicia Branch",57890196607199770,46,34,2,78.4233,False
"Alina Carley",40824199405096283,3,38,2,78.8036,True
"Angel Arellano",18755198203174258,12,5,2,75.3478,True
"Annie Washington",77854196107097482,19,45,3,72.1654,False
"Anthony Mcdonnell",90275200110245986,27,53,4,79.2347,True
"Antonia Doyle",15476196201254106,10,8,4,66.2587,False
"Ashley Casey",86359201206175081,31,30,2,66.5691,False
"Belinda Thompson",22365194603246635,35,9,4,79.3299,False
"Betty Bates",28672200603047423,57,17,3,82.1707,True
"Betty Fuller",96838201111062637,60,52,6,74.3282,True
"Cesar Baca",29192200606248608,61,9,6,88.2749,False
"Chadwick Scarberry",58006196406261134,61,36,4,73.9742,False
"Charles Liedke",32647195906146423,29,30,5,70.5475,False
"Christopher Marett",14944200510063305,43,11,4,89.2315,False
"Christopher Weaver",75778193505115343,21,20,6,60.3619,False
"Corinne Schachter",55615194802177646,19,57,6,59.0912,False
"David Burnside",82670197003271378,38,53,5,70.44,False
"David Mouret",43725194205018935,10,14,3,65.4988,False
"Dee Clark",62352201207295479,35,13,4,85.2766,False
"Denise Tatar",15139196208223002,2,6,3,54.901,False
"Diane Ainsley",63172197305071731,2,39,1,81.4207,False
"Douglas Rzeszutko",18586201805103928,6,7,6,67.0627,False
"Elisabeth Martin",93529198510222676,11,38,3,86.6403,False
"Elizabeth Bussman",40617196309173806,31,15,4,73.4755,False
"Elizabeth Gust",66639197112236369,2,34,5,75.7373,False
"Ellen Broadfoot",21680199009075996,29,30,3,81.204,False
"Elvera Mccarty",90272201007195092,29,55,5,83.6223,False
"Emily Smayda",97305200607103096,52,9,2,76.2726,False
"Greg Aragon",35644196108298205,15,7,1,57.6728,False
"Harvey Dodds",47362201004282965,17,1,2,79.4567,False
"Helen Bowers",90208195607237771,28,23,1,60.5144,False
"Herbert Henkel",43256198308227983,22,38,5,68.8268,False
"James Fackler",50633198410036625,37,53,3,72.804,False
"James Finney",38806193403299007,31,3,2,63.1258,False
"James Nino",91129193311246212,4,9,3,68.9926,False
"Jeff Hargrove",94014198609095872,60,38,2,83.2276,False
"Jeffery Agena",40270193207033116,23,20,1,66.151,False
"Jennifer Daniels",89442198708107697,22,44,5,73.4755,False
"Jessie Buchanan",51246195301028111,11,2,1,69.5577,False
"Joan Whitley",42273198910275897,5,2,1,73.4755,False
"Joel Steeley",15574197207214945,44,4,1,79.2415,False
"Johnnie Morris",67859194904187423,37,13,6,65.2263,False
"Jon Casali",61012195312259825,29,36,5,59.7968,False
"Jonathan Benda",61233194003221747,7,18,2,68.9235,True
"Joseph Floyd",45843193904219808,19,42,2,74.0741,False
"Kari Sullivan",64238195706111226,41,2,3,69.5215,False
"Keith Choe",98419194604298583,23,34,5,65.5423,False
"Kevin Boll",39495201910247808,21,52,4,76.1649,False
"Kevin Johnson",91549195808074926,22,41,3,79.6892,False
"Kristin Chestnut",82367200701202698,26,8,1,66.6628,False
"Lavera Kaplan",69478199103226914,5,22,2,82.5376,False
"Mabel Morgan",12432194405194262,7,19,2,73.4755,True
"Marcus Schmitt",30880200006099838,2,54,4,83.5518,False
"Maria Jones",29912194901166715,43,7,3,74.6921,False
"Mark Healy",58380198708285314,39,11,5,79.8223,False
"Mark Overby",83613195303104450,5,24,2,68.627,False
"Mark Ward",96729196206253463,4,44,4,73.4755,False
"Marvin Ducharme",32957199909166708,13,37,5,76.8161,True
"Matthew Picard",76936194408033556,22,61,5,63.7539,False
"Meghan Evans",62470200212253292,39,19,6,69.5821,False
"Michael Cather",63201196305073139,44,54,5,71.1748,False
"Michele Martin",57197193010238827,63,2,2,72.4146,False
"Mina Porter",60508198505209579,50,34,3,73.1327,True
"Nicole Uribe",30203193708031223,37,17,4,59.6301,False
"Patricia Torres",37435197206038571,41,23,2,69.2993,False
"Rachel Teel",40102197712123957,34,62,2,73.6473,True
"Raymond Rounds",55360195901279819,26,14,6,73.4755,False
"Rebecca Skrine",86002194811046577,45,12,4,73.1734,False
"Rhonda Rabinowitz",43663201402073537,57,57,6,73.4755,False
"Robert Barker",21668196807265078,51,31,1,78.181,False
"Robert Hosey",64403193511134299,22,40,1,70.4821,False
"Robert Nichol",91509200203221635,8,38,1,79.9426,False
"Robert Vanderloo",45939198206116271,25,31,6,89.5504,True
"Ronna Smith",72586200608277866,55,14,6,73.4755,False
"Ruby Beaudry",24157201410205602,16,18,3,85.4104,False
"Ryan Edwards",17005193807237702,2,61,5,73.4755,False
"Sally Wegner",10845194901035782,26,6,4,61.6079,False
"Sandra Bode",72030195405284658,6,14,4,79.9487,False
"Scott Brewster",80968199711081475,17,41,2,67.0309,False
"Shannon Woods",60960200512234245,12,4,5,79.1257,False
"Sharon Mehta",61853193105102824,60,54,2,73.4755,False
"Stella Bulfer",75119197308046784,34,56,3,77.3666,False
"Stephen Owens",50038201503036850,5,29,6,73.4755,False
"Susan Bond",50828195906172442,23,6,5,73.4755,False
"Tamika Colon",13003198504278417,24,41,5,85.1266,False
"Terry Bellows",71917198612037123,57,1,2,74.2467,False
"Terry Mcentee",63484198811027679,10,27,3,78.0684,False
"Tiffany Guinn",95744201204254867,55,7,2,66.7085,False
"Victoria Mcdaniel",68103200308091655,53,44,2,72.9743,False
"Victoria Schwenke",40855196004086343,1,5,6,61.7743,False
"Walter Caldwell",75161196011207729,13,30,4,67.5968,False
"William Mclean",12399193006161765,5,14,2,73.1015,False
"William Nunnally",75959201309096727,25,6,5,79.7691,False
"Willie Hill",97430197708275609,40,8,5,89.8846,False
"Yasmin Luse",52778195309229560,45,42,1,73.7846,False
"Aaron Miller",78712198009199590,41,32,5,77.4747,True
"Aaron Siddique",98472193411079309,16,34,5,62.4489,False
"Alberta Osborne",46519197109304553,44,36,3,84.5817,False
"Amos Killinger",69353195604148781,6,14,5,69.8047,False
"Amy Lozano",67869200603029230,28,62,4,78.5274,False
"Andrew Zima",10865198308204842,20,52,2,82.3987,False
"Ann Carter",80331200710094865,14,35,5,73.4755,False
"Aurelio Vandermoon",50515194102274341,32,27,1,61.8016,False
"Benjamin Griglen",98703199006264215,15,20,2,88.4546,False
"Beth Houck",37738194803271239,42,35,2,73.4755,False
"Betsy Keats",97630200905203319,27,30,3,83.1311,False
"Brandon James",20657199501135180,61,64,4,72.8463,False
"Catherine Mckie",40012193009225212,31,1,3,59.0559,False
"Charles Cohen",34117196805017455,4,7,1,67.3911,False
"Cheri Hanes",73985200208127929,31,45,5,73.4755,False
"Christina Hall",44004193509148771,44,56,3,67.4182,False
"David Blanchard",71173197203291590,45,33,1,76.5871,False
"Dennis Williams",76026198611052781,4,20,5,82.1695,False
"Donnie Colbert",73022193501265674,51,2,1,72.9849,False
"Dylan Rodocker",51739195212124961,7,24,5,63.4258,True
"Edward Flores",74344197711212933,27,21,1,79.4748,False
"Elsie Navarrete",49798200805109196,44,5,2,76.9708,False
"Elton Paugh",14195196807242693,59,33,3,75.7236,False
"Everett Kelly",45974198509105303,21,23,5,82.3599,False
"Fannie Skinner",31728196608192023,48,53,2,61.7576,False
"Francis Buel",15633200503251510,28,12,5,73.4755,False
"Gabriel Mccauley",27602194204152457,60,32,2,79.5948,False
"Gloria Diggs",98969199601014316,9,14,4,91.4072,False
"Harold Guzman",18597200811136279,57,16,1,73.4755,False
"Helen Gray",33530199503181088,16,39,5,81.9972,False
"James Maisano",98165195403039330,9,46,4,65.0724,False
"Janice Langer",48656193002055902,26,18,6,67.3683,False
"Janine Silva",64957196603097293,3,61,5,78.8814,True
"Jeff Carpenter",77413197806225222,50,1,3,81.7341,True
"Jeffrey Holloway",63890196302051869,2,59,4,78.0977,False
"Jillian Willett",63855200705044532,17,27,3,68.3705,False
"Johnny Pope",33340198602283235,25,29,6,76.0577,False
"Joyce Parra",45787198511112523,41,6,3,75.7079,False
"Kathryn Stroud",82424194108223987,52,62,2,69.2418,False
"Kathy Hines",89767197312104706,4,19,5,71.9264,False
"Kenneth Henry",62900199809127663,26,6,5,84.7472,False
"Kenneth Orosco",82547199101061882,51,31,6,89.5469,False
"Kimberly Holmes",56707198103026248,34,60,4,78.045,False
"Linda Holloway",32353193001255552,38,45,4,58.4181,False
"Lisa Fish",62814200204202519,16,51,4,81.6501,False
"Lynn Evans",23649199806066035,51,40,4,85.1925,False
"Margo Stapleton",94283198003196424,25,29,1,75.0589,False
"Maria Rooney",45597194704017950,47,20,3,62.4629,False
"Marjorie Brown",44381200509042358,38,5,3,84.7526,False
"Martha Mercier",37068197912067795,3,26,4,71.4986,False
"Mary Taylor",90535194904122498,46,16,1,70.0425,False
"Mary Zohn",45924200006138950,30,20,2,76.9923,True
"Matthew Yim",22536193209309372,57,27,2,60.7095,True
"Melanie Wang",11668197612099945,62,4,2,85.5106,False
"Melissa Weaver",81091194602166379,29,56,4,69.2541,False
"Michael Brown",32652195207135378,48,8,3,66.459,False
"Miguel Smith",27963194706218299,53,30,1,75.4059,False
"Noel Jones",90151197407278883,59,53,6,72.3219,False
"Paula Tessier",87407194310137508,43,9,3,75.9523,False
"Ramon Taylor",81437201709237029,3,43,6,75.0299,True
"Richard Beene",47244194002254574,2,34,3,54.6238,False
"Richard Heil",17750197102273390,56,16,2,72.8777,False
"Robert Sykes",10319194406134808,19,29,6,78.5733,False
"Roy Taylor",41269200705272907,33,30,6,78.3371,True
"Ruby Baker",46521201803014027,37,29,5,76.7024,False
"Shane Spence",14659193201243003,38,47,6,68.8379,False
"Sharon Davidson",79336195804114046,10,64,4,73.4755,False
"Steven Olson",22890193102037098,11,24,3,69.6508,False
"Theresa Sindorf",38987198304287732,30,12,4,73.4755,False
"Tierra Harris",25369194106128349,28,6,1,70.1023,False
"Timothy Shaw",73615197511158901,48,38,2,76.1436,False
"Tonia Longo",10096201306233339,24,35,3,71.3854,False
"Tracey Fuller",40182201007043658,13,25,4,79.8162,False
"Virgil Shaw",43195201710306784,30,18,2,69.9376,False
"Vivian Miller",39835199903183718,30,14,6,70.9299,False
"Vivian Taylor",91044196505268577,31,34,5,68.9548,False
"Wanda Norman",80609193304256302,20,30,5,70.9909,False
"William Hunt",54811198704014969,42,20,6,63.5748,False
